time,roll,pitch,yaw
2.160000,90.000000,-45.896073,-0.000000
2.180000,90.000000,-45.923864,0.000000
2.200000,90.000000,-45.952146,0.000000
2.220000,90.000000,-45.980918,0.000000
2.240000,90.000000,-46.010179,0.000000
2.260000,90.000000,-46.039926,0.000000
2.280000,90.000000,-46.070158,0.000000
2.300000,90.000000,-46.100872,0.000000
2.320000,90.000000,-46.132066,-0.000000
2.340000,90.000000,-46.163737,0.000000
2.360000,90.000000,-46.195883,-0.000000
2.380000,90.000000,-46.228500,0.000000
2.400000,90.000000,-46.261584,-0.000000
2.420000,90.000000,-46.295132,0.000000
2.440000,90.000000,-46.329141,0.000000
2.460000,90.000000,-46.363605,0.000000
2.480000,90.000000,-46.398520,0.000000
2.500000,90.000000,-46.433882,0.000000
2.520000,90.000000,-46.469687,0.000000
2.540000,90.000000,-46.505928,-0.000000
2.560000,90.000000,-46.542601,0.000000
2.580000,90.000000,-46.579700,0.000000
2.600000,90.000000,-46.617219,0.000000
2.620000,90.000000,-46.655153,0.000000
2.640000,90.000000,-46.693496,0.000000
2.660000,90.000000,-46.732240,0.000000
2.680000,90.000000,-46.771380,0.000000
2.700000,90.000000,-46.810908,0.000000
2.720000,90.000000,-46.850819,0.000000
2.740000,90.000000,-46.891104,0.000000
2.760000,90.000000,-46.931758,-0.000000
2.780000,90.000000,-46.972771,0.000000
2.800000,90.000000,-47.014137,0.000000
2.820000,90.000000,-47.055848,0.000000
2.840000,90.000000,-47.097896,0.000000
2.860000,90.000000,-47.140273,0.000000
2.880000,90.000000,-47.182971,-0.000000
2.900000,90.000000,-47.225982,0.000000
2.920000,90.000000,-47.269297,0.000000
2.940000,90.000000,-47.312908,0.000000
2.960000,90.000000,-47.356806,0.000000
2.980000,90.000000,-47.400982,-0.000000
3.000000,90.000000,-47.445428,0.000000
3.020000,90.000000,-47.490135,0.000000
3.040000,90.000000,-47.535094,0.000000
3.060000,90.000000,-47.580295,0.000000
3.080000,90.000000,-47.625730,0.000000
3.100000,90.000000,-47.671389,0.000000
3.120000,90.000000,-47.717263,-0.000000
3.140000,90.000000,-47.763344,0.000000
3.160000,90.000000,-47.809621,0.000000
3.180000,90.000000,-47.856085,0.000000
3.200000,90.000000,-47.902727,0.000000
3.220000,90.000000,-47.949538,0.000000
3.240000,90.000000,-47.996508,-0.000000
3.260000,90.000000,-48.043628,0.000000
3.280000,90.000000,-48.090889,0.000000
3.300000,90.000000,-48.138280,0.000000
3.320000,90.000000,-48.185793,0.000000
3.340000,90.000000,-48.233419,0.000000
3.360000,90.000000,-48.281148,-0.000000
3.380000,90.000000,-48.328971,0.000000
3.400000,90.000000,-48.376879,0.000000
3.420000,90.000000,-48.424862,0.000000
3.440000,90.000000,-48.472912,-0.000000
3.460000,90.000000,-48.521020,0.000000
3.480000,90.000000,-48.569177,0.000000
3.500000,90.000000,-48.617373,0.000000
3.520000,90.000000,-48.665600,0.000000
3.540000,90.000000,-48.713850,0.000000
3.560000,90.000000,-48.762114,0.000000
3.580000,90.000000,-48.810383,0.000000
3.600000,90.000000,-48.858649,0.000000
3.620000,90.000000,-48.906904,0.000000
3.640000,90.000000,-48.955140,0.000000
3.660000,90.000000,-49.003348,0.000000
